decimalLatitude,decimalLongitude,eventDate,eventid,fieldnotes,footprintWKT,geodeticdatum,maximumdepthinmeters,modified,occurrenceid,parenteventid
47.31211,-60.16126,2014-07-11T12:10:00Z/2015-05-28T18:11:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS267-VR2W-112333-2,,POINT(-60.16126 47.31211),EPSG:4326,,2016-05-25,,
47.31733,-60.16836,2014-07-11T12:21:00Z/2015-05-28T18:31:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS268-VR2W-112351-2,,POINT(-60.16836 47.31733),EPSG:4326,,2016-05-25,,
47.33308,-60.18907,2014-07-11T12:51:00Z/2015-05-28T19:34:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS271-VR2W-112307-2,,POINT(-60.18907 47.33308),EPSG:4326,,2016-05-25,,
47.33794,-60.19586,2014-07-11T13:02:00Z/2015-05-28T10:04:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS272-VR2W-114730-2,,POINT(-60.19586 47.33794),EPSG:4326,,2016-05-25,,
47.34345,-60.20288,2014-07-11T13:12:00Z/2015-05-28T10:26:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS273-VR2W-114740-2,,POINT(-60.20288 47.34345),EPSG:4326,,2016-05-25,,
47.52056,-59.51616,2013-07-29T06:51:23Z/2017-06-16T13:25:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS233-VR4-250497-1,,POINT(-59.51616 47.52056),EPSG:4326,,2017-08-15,,
47.51638,-59.5252,2013-07-29T06:55:42Z/2017-06-16T13:15:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS232-VR4-250516-1,,POINT(-59.5252 47.51638),EPSG:4326,,2017-08-15,,
47.49952,-59.56019,2013-07-29T07:17:45Z/2017-06-16T12:33:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS228-VR4-250565-1,,POINT(-59.56019 47.49952),EPSG:4326,,2017-08-15,,
47.46616,-59.62904,2013-07-31T08:48:26Z/2017-06-16T11:15:00Z,urn:catalog:otn:DFO-MLI:CBS:CBS220-VR4-250573-1,PORT MFE recorded as 35882 (which is allegedly on HFX099). Susan changed to 35582 based on inventory.,POINT(-59.62904 47.46616),EPSG:4326,,2017-08-15,,
47.40339,-59.75919,2013-08-03T15:43:14Z/2017-06-27T20:03:04Z,urn:catalog:otn:DFO-MLI:CBS:CBS205-VR4-250557-1,,POINT(-59.75919 47.40339),EPSG:4326,,2017-08-15,,
47.39913,-59.76759,2013-08-03T15:47:34Z/2017-06-27T20:05:12Z,urn:catalog:otn:DFO-MLI:CBS:CBS204-VR4-250515-1,,POINT(-59.76759 47.39913),EPSG:4326,,2017-08-15,,
47.39505,-59.77634,2013-08-03T15:51:29Z/2017-06-27T20:16:29Z,urn:catalog:otn:DFO-MLI:CBS:CBS203-VR4-250559-1,,POINT(-59.77634 47.39505),EPSG:4326,,2017-08-15,,
47.39088,-59.78506,2013-08-03T15:55:33Z/2017-06-27T20:20:48Z,urn:catalog:otn:DFO-MLI:CBS:CBS202-VR4-250502-1,,POINT(-59.78506 47.39088),EPSG:4326,,2017-08-15,,
47.38675,-59.7938,2013-08-03T15:59:14Z/2017-06-27T20:26:41Z,urn:catalog:otn:DFO-MLI:CBS:CBS201-VR4-250561-1,,POINT(-59.7938 47.38675),EPSG:4326,,2017-08-15,,
47.34082,-59.88881,2013-08-03T16:41:18Z/2017-06-27T21:22:16Z,urn:catalog:otn:DFO-MLI:CBS:CBS190-VR4-250551-1,,POINT(-59.88881 47.34082),EPSG:4326,,2017-08-15,,
47.33637,-59.8973,2013-08-03T16:45:23Z/2017-06-27T21:26:43Z,urn:catalog:otn:DFO-MLI:CBS:CBS189-VR4-250562-1,,POINT(-59.8973 47.33637),EPSG:4326,,2017-08-15,,
47.33234,-59.90581,2013-08-03T16:49:04Z/2017-06-27T21:33:23Z,urn:catalog:otn:DFO-MLI:CBS:CBS188-VR4-250575-1,,POINT(-59.90581 47.33234),EPSG:4326,,2017-08-15,,
47.32823,-59.91434,2013-08-03T16:55:55Z/2017-06-27T21:36:56Z,urn:catalog:otn:DFO-MLI:CBS:CBS187-VR4-250525-1,,POINT(-59.91434 47.32823),EPSG:4326,,2017-08-15,,
47.32384,-59.92313,2013-08-03T16:59:44Z/2017-06-27T21:40:34Z,urn:catalog:otn:DFO-MLI:CBS:CBS186-VR4-250522-1,,POINT(-59.92313 47.32384),EPSG:4326,,2017-08-15,,
