decimalLatitude,decimalLongitude,eventDate,eventid,fieldnotes,footprintWKT,geodeticdatum,maximumdepthinmeters,modified,occurrenceid,parenteventid
43.27641,-63.49989,2012-05-24T00:39:43Z/2017-02-22T18:59:00Z,urn:catalog:otn:OTN:HFX:HFX195-VR4-250241-1,,POINT(-63.49989 43.27641),EPSG:4326,169.0,2012-05-30,,
43.17557,-63.4989,,urn:catalog:otn:OTN:HFX:HFX209-VR4-250237-1,No response from AR (battery) - offloaded VR4 acoustically,POINT(-63.4989 43.17557),EPSG:4326,149.0,2012-05-30,,
43.21909,-63.5001,2012-05-24T15:37:03Z/2016-12-07T13:01:00Z,urn:catalog:otn:OTN:HFX:HFX203-VR4-250299-1,,POINT(-63.5001 43.21909),EPSG:4326,166.0,2012-05-30,,
43.21196,-63.5,2012-05-24T15:31:30Z/2016-12-07T13:25:00Z,urn:catalog:otn:OTN:HFX:HFX204-VR4-250313-1,,POINT(-63.5 43.21196),EPSG:4326,164.0,2012-05-30,,
43.20489,-63.50003,2012-05-24T15:26:30Z/2016-12-07T13:42:00Z,urn:catalog:otn:OTN:HFX:HFX205-VR4-250296-1,,POINT(-63.50003 43.20489),EPSG:4326,159.0,2012-05-30,,
43.19034,-63.49998,2012-05-24T15:14:55Z/2016-12-07T14:07:00Z,urn:catalog:otn:OTN:HFX:HFX207-VR4-250340-1,,POINT(-63.49998 43.19034),EPSG:4326,153.0,2012-05-30,,
43.18252,-63.49755,2012-05-24T15:09:17Z/2016-12-07T14:27:00Z,urn:catalog:otn:OTN:HFX:HFX208-VR4-250277-1,,POINT(-63.49755 43.18252),EPSG:4326,151.0,2012-05-30,,
43.88175,-63.21309,,urn:catalog:otn:OTN:HFX:HFX102-250132-1,,POINT(-63.21309 43.88175),EPSG:4326,131.0,2012-03-16,,
43.14712,-63.50007,2012-05-24T12:37:58Z/2016-12-07T16:12:00Z,urn:catalog:otn:OTN:HFX:HFX213-VR4-250229-1,,POINT(-63.50007 43.14712),EPSG:4326,152.0,2012-05-30,,
43.13988,-63.49985,2012-05-24T12:32:59Z/2016-12-07T16:58:00Z,urn:catalog:otn:OTN:HFX:HFX214-VR4-250228-1,,POINT(-63.49985 43.13988),EPSG:4326,154.0,2012-05-30,,
43.11846,-63.50012,,urn:catalog:otn:OTN:HFX:HFX217-VR4-250308-1,,POINT(-63.50012 43.11846),EPSG:4326,164.0,2012-05-30,,
